date,day_weather,night_weather,max_temp,min_temp,day_wind,night_wind
2022-06-20,多云 ,  多云,25℃ , 20℃,东南风 3-4级 , 东南风 3-4级
2022-06-21,多云 ,  多云,26℃ , 20℃,南风 3-4级 , 南风 3-4级
2022-06-22,多云 ,  中到大雨,25℃ , 20℃,东南风 4-5级 , 东南风 4-5级
2022-06-23,雷阵雨 ,  晴,27℃ , 21℃,西北风 4-5级 , 西北风 4-5级
2022-06-24,晴 ,  多云,30℃ , 22℃,西北风 4-5级 , 西北风 4-5级
2022-06-25,多云 ,  雷阵雨,30℃ , 20℃,西南风 4-5级 , 西南风 4-5级
2022-06-26,多云 ,  中到大雨,30℃ , 21℃,东风 4-5级 , 东风 4-5级
2022-06-27,大到暴雨 ,  小雨,26℃ , 21℃,东南风 5-6级 , 东南风 5-6级
2022-06-28,阴 ,  多云,27℃ , 21℃,北风 3-4级 , 北风 3-4级
2022-06-29,多云 ,  阵雨,27℃ , 21℃,西北风 3-4级 , 西北风 3-4级
2022-06-30,多云 ,  雷阵雨,26℃ , 21℃,东风 3-4级 , 东风 3-4级
2022-07-01,多云 ,  雷阵雨,26℃ , 21℃,南风 4-5级 , 南风 4-5级
2022-07-02,阴 ,  阴,27℃ , 22℃,南风 4-5级 , 南风 4-5级
2022-07-03,多云 ,  多云,26℃ , 22℃,东南风 3-4级 , 东南风 3-4级
2022-07-04,多云 ,  多云,26℃ , 22℃,东南风 3-4级 , 东南风 3-4级
2022-07-05,多云 ,  雷阵雨,27℃ , 22℃,东南风 3-4级 , 东南风 3-4级
2022-07-06,大雨 ,  暴雨,26℃ , 22℃,东南风 4-5级 , 东南风 4-5级
2022-07-07,阵雨 ,  多云,28℃ , 23℃,南风 4-5级 , 南风 4-5级
2022-07-08,晴 ,  多云,31℃ , 23℃,西南风 3-4级 , 西南风 3-4级
2022-07-09,晴 ,  晴,31℃ , 23℃,西南风 3-4级 , 西南风 3-4级
2022-07-10,雷阵雨 ,  多云,27℃ , 22℃,东风 3-4级 , 东风 3-4级
2022-07-11,多云 ,  多云,26℃ , 22℃,东风 3-4级 , 东风 3-4级
2022-07-12,雷阵雨 ,  大雨,26℃ , 22℃,东南风 4-5级 , 东南风 4-5级
2022-07-13,阴 ,  多云,28℃ , 22℃,北风 4-5级 , 北风 4-5级
2022-07-14,晴 ,  晴,29℃ , 22℃,南风 3-4级 , 南风 3-4级
2022-07-15,晴 ,  晴,30℃ , 23℃,西北风 4-5级 , 西北风 4-5级
2022-07-16,晴 ,  晴,30℃ , 23℃,北风 3-4级 , 北风 3-4级
2022-07-17,多云 ,  多云,30℃ , 23℃,南风 3-4级 , 南风 3-4级
2022-07-18,多云 ,  晴,30℃ , 23℃,西北风 3-4级 , 西北风 3-4级
2022-07-19,晴 ,  多云,31℃ , 23℃,西南风 3-4级 , 西南风 3-4级
2022-07-20,阵雨 ,  雷阵雨,29℃ , 22℃,西南风 3-4级 , 西南风 3-4级
2022-07-21,阵雨 ,  多云,29℃ , 22℃,西风 3-4级 , 西风 3-4级
2022-07-22,晴 ,  雷阵雨,29℃ , 23℃,北风 3-4级 , 北风 3-4级
2022-07-23,雷阵雨 ,  多云,27℃ , 21℃,东南风 3-4级 , 东南风 3-4级
2022-07-24,晴 ,  晴,29℃ , 23℃,西南风 3-4级 , 西南风 3-4级
2022-07-25,晴 ,  晴,30℃ , 23℃,南风 3-4级 , 南风 3-4级
2022-07-26,晴 ,  晴,28℃ , 23℃,东南风 3-4级 , 东南风 3-4级
2022-07-27,多云 ,  多云,29℃ , 24℃,东南风 3-4级 , 东南风 3-4级
2022-07-28,雷阵雨 ,  小到中雨,28℃ , 24℃,东南风 4-5级 , 东南风 4-5级
2022-07-29,中雨 ,  小雨,28℃ , 24℃,南风 4-5级 , 南风 4-5级
2022-07-30,阴 ,  多云,29℃ , 24℃,东南风 3-4级 , 东南风 3-4级
2022-07-31,多云 ,  多云,28℃ , 24℃,东风 3-4级 , 东风 3-4级
2022-08-01,多云 ,  多云,30℃ , 25℃,东北风 3-4级 , 东北风 3-4级
2022-08-02,多云 ,  多云,31℃ , 26℃,北风 3-4级 , 北风 3-4级
2022-08-03,晴 ,  晴,32℃ , 26℃,西南风 3-4级 , 西南风 3-4级
2022-08-04,多云 ,  雷阵雨,32℃ , 26℃,西南风 3-4级 , 西南风 3-4级
2022-08-05,多云 ,  多云,31℃ , 25℃,西南风 3-4级 , 西南风 3-4级
2022-08-06,多云 ,  多云,31℃ , 25℃,南风 3-4级 , 南风 3-4级
2022-08-07,中到大雨 ,  小到中雨,29℃ , 24℃,西南风 4-5级 , 西南风 4-5级
